item_id,primary_trait,source_split,PC1,PC2,PC3,PC4
commonsense_test_000032,harmlessness,commonsense,-2.131424,0.588442,0.054259,0.133729
commonsense_test_000211,harmlessness,commonsense,-1.788561,-0.718241,0.121604,0.022948
commonsense_test_000229,honesty,commonsense,-1.867259,-0.327746,0.048129,0.021103
commonsense_test_000270,harmlessness,commonsense,-1.861529,-0.014785,0.385659,0.233906
commonsense_test_000291,harmlessness,commonsense,1.264371,-0.195822,0.118385,0.165293
commonsense_test_000321,harmlessness,commonsense,-1.898651,-0.065110,0.225547,-0.011937
commonsense_test_000322,harmlessness,commonsense,-1.931833,-0.391360,-0.289822,0.146560
commonsense_test_000325,honesty,commonsense,0.701135,-0.044615,0.224372,0.098990
commonsense_test_000351,honesty,commonsense,-0.931615,-0.104131,0.099113,0.154540
commonsense_test_000463,harmlessness,commonsense,-1.456292,-0.453589,0.089496,0.077794
commonsense_test_000486,harmlessness,commonsense,-1.097728,-0.005309,0.212855,0.056863
commonsense_test_000534,harmlessness,commonsense,-0.324307,0.144675,0.012487,0.017992
commonsense_test_000573,harmlessness,commonsense,-1.292464,-0.613378,-0.514913,0.171935
commonsense_test_000642,compassion,commonsense,-0.072549,-0.029415,0.040053,0.118860
commonsense_test_000720,harmlessness,commonsense,-1.599296,-0.329343,-0.021789,-0.133878
commonsense_test_000721,harmlessness,commonsense,-0.690644,0.779303,0.008776,0.155573
commonsense_test_000744,honesty,commonsense,-1.503267,0.196525,0.197387,-0.002070
commonsense_test_000803,compassion,commonsense,-1.790309,0.331130,0.513763,0.077388
commonsense_test_000864,harmlessness,commonsense,0.783715,-0.912251,0.004853,0.176172
commonsense_test_000869,honesty,commonsense,-3.513408,0.482025,-0.012125,0.105564
commonsense_test_000889,honesty,commonsense,-2.699280,0.404431,0.327773,-0.023659
commonsense_test_000965,harmlessness,commonsense,-2.188416,-0.447966,0.104464,0.083300
commonsense_test_001032,harmlessness,commonsense,-1.035646,0.025188,0.057073,0.144440
commonsense_test_001221,harmlessness,commonsense,-2.246019,-0.931648,-0.260459,0.042245
commonsense_test_001222,harmlessness,commonsense,-1.202704,-0.137368,0.088687,-0.002485
commonsense_test_001293,compassion,commonsense,-2.242299,-0.372831,0.054397,0.036388
commonsense_test_001344,honesty,commonsense,-0.577397,-0.012717,0.422564,0.242979
commonsense_test_001402,harmlessness,commonsense,2.337222,-0.110313,0.292440,0.106788
commonsense_test_001417,honesty,commonsense,0.725801,-0.410189,0.144806,0.024232
commonsense_test_001426,harmlessness,commonsense,-1.366186,0.065614,-0.104564,0.117523
commonsense_test_001483,harmlessness,commonsense,-0.470364,1.004361,-0.079862,0.004101
commonsense_test_001498,harmlessness,commonsense,-0.649680,-0.391389,-0.108344,0.089404
commonsense_test_001511,harmlessness,commonsense,-1.401436,0.857194,-0.067696,0.064508
commonsense_test_001644,honesty,commonsense,0.278942,0.039275,0.310296,0.017015
commonsense_test_001650,harmlessness,commonsense,1.180122,-0.978450,0.105130,-0.017528
commonsense_test_001702,harmlessness,commonsense,-2.870824,0.677825,0.080587,-0.225984
commonsense_test_001813,harmlessness,commonsense,-0.083460,0.065956,-0.150354,0.239004
commonsense_test_001878,honesty,commonsense,-1.799176,0.084210,0.285225,-0.000067
commonsense_test_002008,honesty,commonsense,-1.342233,0.244201,0.131526,0.074777
commonsense_test_002090,honesty,commonsense,-0.910421,-0.079293,-0.074385,-0.046878
commonsense_test_002119,fairness,commonsense,1.658006,0.409984,-0.150648,-0.036697
commonsense_test_002179,fairness,commonsense,2.278740,1.123316,-0.185424,-0.014770
commonsense_test_002210,honesty,commonsense,3.663136,0.231534,0.142562,-0.064329
commonsense_test_002266,compassion,commonsense,5.213863,-0.016796,-0.002916,-0.050295
commonsense_test_002299,honesty,commonsense,-0.358844,0.288663,0.458692,-0.310105
commonsense_test_002338,fairness,commonsense,0.690474,0.681332,-0.120609,-0.097261
commonsense_test_002405,compassion,commonsense,-0.346256,0.713297,-0.307439,-0.017249
commonsense_test_002430,honesty,commonsense,2.174019,0.509253,-0.310934,0.077527
commonsense_test_002506,compassion,commonsense,6.190765,0.742173,-0.265058,0.213011
commonsense_test_002512,honesty,commonsense,0.333084,0.431939,0.015008,-0.082290
commonsense_test_002567,honesty,commonsense,-0.743350,1.072367,-0.331308,-0.074192
commonsense_test_002583,compassion,commonsense,1.963159,0.252273,0.313187,-0.095876
commonsense_test_002727,compassion,commonsense,1.213098,0.210047,0.201974,0.226402
commonsense_test_002784,compassion,commonsense,0.679075,0.587011,-0.400972,-0.017347
commonsense_test_002867,fairness,commonsense,3.066538,0.753429,-0.553036,-0.057850
commonsense_test_002966,compassion,commonsense,2.693871,0.426127,0.211814,0.034665
commonsense_test_002969,honesty,commonsense,1.263486,-0.073762,-0.123041,-0.207505
commonsense_test_002972,honesty,commonsense,1.030182,0.357674,0.150874,-0.109345
commonsense_test_002988,harmlessness,commonsense,3.545181,0.235372,0.090573,-0.134470
commonsense_test_003024,compassion,commonsense,0.874447,0.797843,0.104823,-0.193113
commonsense_test_003083,compassion,commonsense,0.185661,0.969505,0.346456,-0.286499
commonsense_test_003137,compassion,commonsense,3.641786,0.619674,0.234660,-0.078615
commonsense_test_003190,honesty,commonsense,-1.948954,1.187799,0.332066,0.102362
commonsense_test_003273,compassion,commonsense,2.450407,0.575333,-0.346319,-0.148596
commonsense_test_003315,honesty,commonsense,2.054644,0.728643,0.343030,-0.071289
commonsense_test_003318,honesty,commonsense,0.530043,0.599925,0.222880,0.158422
commonsense_test_003362,compassion,commonsense,0.003421,0.544767,0.032749,-0.100039
commonsense_test_003437,honesty,commonsense,3.000316,0.295022,-0.468854,-0.089220
commonsense_test_003535,honesty,commonsense,-0.103761,0.644526,0.332539,-0.311855
commonsense_test_003563,compassion,commonsense,-1.431697,1.252969,-0.184602,-0.087879
commonsense_test_003589,fairness,commonsense,-0.094382,1.005340,-1.252955,0.158774
