item_id,primary_trait,source_split,PC1,PC2,PC3,PC4
commonsense_test_000032,harmlessness,commonsense,-0.095791,0.401902,0.182887,-0.297873
commonsense_test_000211,harmlessness,commonsense,-0.571519,-0.708754,-0.009022,0.067615
commonsense_test_000229,honesty,commonsense,-1.168421,-0.302782,0.025759,-0.001178
commonsense_test_000270,harmlessness,commonsense,0.434619,0.009344,0.051485,-0.201435
commonsense_test_000291,harmlessness,commonsense,1.517549,0.258161,0.227510,-0.276699
commonsense_test_000321,harmlessness,commonsense,-0.212570,-0.141291,0.206000,-0.117373
commonsense_test_000322,harmlessness,commonsense,0.546588,-0.258662,-0.594762,-0.337905
commonsense_test_000325,honesty,commonsense,0.684218,-0.032333,0.018885,-0.050343
commonsense_test_000351,honesty,commonsense,-0.651461,0.175702,0.121836,-0.080212
commonsense_test_000463,harmlessness,commonsense,-0.677880,-0.314508,-0.069770,-0.052450
commonsense_test_000486,harmlessness,commonsense,-0.303626,0.113977,0.269467,-0.227546
commonsense_test_000534,harmlessness,commonsense,0.077239,0.329248,0.146923,-0.137559
commonsense_test_000573,harmlessness,commonsense,0.377227,-0.472414,-0.604853,-0.361814
commonsense_test_000642,compassion,commonsense,1.857835,0.034221,0.038484,-0.048030
commonsense_test_000720,harmlessness,commonsense,0.143609,-0.353010,0.031841,-0.077156
commonsense_test_000721,harmlessness,commonsense,-0.183577,0.388133,0.283814,-0.170477
commonsense_test_000744,honesty,commonsense,0.263031,-0.009910,-0.114134,0.049123
commonsense_test_000803,compassion,commonsense,0.220685,0.066629,0.377480,-0.119455
commonsense_test_000864,harmlessness,commonsense,3.205286,-0.642145,-0.407204,-0.567304
commonsense_test_000869,honesty,commonsense,-1.233103,0.393751,0.173903,-0.324501
commonsense_test_000889,honesty,commonsense,-1.278060,0.469541,0.099355,-0.160108
commonsense_test_000965,harmlessness,commonsense,-0.981640,-0.629786,-0.118829,-0.009424
commonsense_test_001032,harmlessness,commonsense,1.084033,0.222949,0.213589,-0.391295
commonsense_test_001221,harmlessness,commonsense,-2.621478,-0.435747,-0.556454,-0.157415
commonsense_test_001222,harmlessness,commonsense,-1.948496,0.270271,0.114147,-0.175239
commonsense_test_001293,compassion,commonsense,0.981138,-0.326985,-0.184253,-0.197961
commonsense_test_001344,honesty,commonsense,-0.485525,-0.033114,-0.010972,0.017683
