item_id,projection_virtue_axis
commonsense_test_000032,2543.7979573876873
commonsense_test_000211,-1.8987777119982638
commonsense_test_000229,2596.4569285874604
commonsense_test_000270,574.2616875055464
commonsense_test_000291,-1006.9128273848473
commonsense_test_000321,1259.3155242843495
commonsense_test_000322,2164.577963632517
commonsense_test_000325,-306.188106299378
commonsense_test_000351,1903.5031047200173
commonsense_test_000463,3002.6021283010923
commonsense_test_000486,2941.900798017523
commonsense_test_000534,-1049.9720667099464
commonsense_test_000573,1341.632096993948
commonsense_test_000642,-741.1574562638561
commonsense_test_000720,3135.435045015154
commonsense_test_000721,630.5436356113423
commonsense_test_000744,2252.1518514153504
commonsense_test_000803,4342.333706477184
commonsense_test_000864,-217.14070040691877
commonsense_test_000869,3389.7083991238615
commonsense_test_000889,3063.316643999766
commonsense_test_000965,2038.1821634795415
commonsense_test_001032,-2553.3326877954314
commonsense_test_001221,4662.039221551364
commonsense_test_001222,995.5042579667061
commonsense_test_001293,2864.4778836610276
commonsense_test_001344,-469.01787658859394
commonsense_test_001402,-2664.432774630208
commonsense_test_001417,498.52821759048675
commonsense_test_001426,-229.01036358939018
commonsense_test_001483,282.33695774159423
commonsense_test_001498,578.8251522374339
commonsense_test_001511,96.20352796369116
commonsense_test_001644,10.427556820417522
commonsense_test_001650,1215.6373915549484
commonsense_test_001702,390.90223091592634
commonsense_test_001813,-3102.543823682914
commonsense_test_001878,2271.8241370574688
commonsense_test_002008,2014.945614360753
commonsense_test_002090,664.0247342649236
commonsense_test_002119,-3324.9177594488356
commonsense_test_002179,-3951.714541006717
commonsense_test_002210,-1894.839891031028
commonsense_test_002266,-4802.5138531238335
commonsense_test_002299,-287.362373395481
commonsense_test_002338,-1785.0625012958699
commonsense_test_002405,-7413.987438249031
commonsense_test_002430,-6056.455859956841
commonsense_test_002506,-5249.784667957036
commonsense_test_002512,-4975.299035340984
commonsense_test_002567,-2804.460235704886
commonsense_test_002583,-2149.239145026695
commonsense_test_002727,1583.290988190609
commonsense_test_002784,-5904.463283106605
commonsense_test_002867,-8430.031215808034
commonsense_test_002966,-5259.575789187387
commonsense_test_002969,-597.9379369867675
commonsense_test_002972,-1864.5709266677804
commonsense_test_002988,-4632.145158313637
commonsense_test_003024,-2242.633812756627
commonsense_test_003083,-1212.490162441296
commonsense_test_003137,-6239.1217083802185
commonsense_test_003190,1016.595200233729
commonsense_test_003273,-6791.666584079241
commonsense_test_003315,-540.7512182162609
commonsense_test_003318,499.77977886817825
commonsense_test_003362,-2991.0370268253973
commonsense_test_003437,-5207.084969819407
commonsense_test_003535,424.7991645917864
commonsense_test_003563,-3060.8438758090706
commonsense_test_003589,-5431.060542683619
commonsense_test_003590,-6325.674740158211
commonsense_test_003599,-4705.412442835128
commonsense_test_003614,-7134.61318627798
commonsense_test_003672,-2905.974824289391
commonsense_test_003758,-6806.296691307944
commonsense_test_003813,-2802.8819083606213
deontology_test_000026,-631.5420679552335
deontology_test_000032,111.05397178273415
deontology_test_000033,-135.64670649259642
deontology_test_000070,1006.0311806952886
deontology_test_000093,-908.4255177414307
deontology_test_000120,1808.3421760227138
deontology_test_000134,300.3186833895452
deontology_test_000149,1293.4869444260912
deontology_test_000315,-1373.9962286933442
deontology_test_000387,993.9087088778542
deontology_test_000501,-1384.685178304564
deontology_test_000621,448.63779125465953
deontology_test_000644,3159.8914321164484
deontology_test_000650,-3806.6426555876023
deontology_test_000693,-1473.019896017482
deontology_test_000794,-36.97789622235723
deontology_test_000810,-522.8687441065849
deontology_test_000817,-636.0506388542708
deontology_test_000912,2058.590362981915
deontology_test_000929,2937.9106841046378
deontology_test_000990,521.3566902735329
deontology_test_001018,-1094.434483498313
deontology_test_001123,560.2202346490303
deontology_test_001164,-646.6422793915117
deontology_test_001187,179.4827588922126
deontology_test_001221,-2785.4728782446036
deontology_test_001228,2517.702746023926
deontology_test_001255,-1261.1073939207563
deontology_test_001391,-4196.154884404656
deontology_test_001513,-4247.593281466718
deontology_test_001584,-2091.156394259793
deontology_test_001702,-1503.3156874171254
deontology_test_001725,779.628274313196
deontology_test_001728,-2668.2790686663575
deontology_test_001746,-2377.20462095087
deontology_test_001788,-2594.9669162046703
deontology_test_001822,-1178.5205702892563
deontology_test_001839,598.1764881323761
deontology_test_001937,-100.48132812120457
deontology_test_001949,3183.1058253863885
deontology_test_001957,-4292.976524851656
deontology_test_002037,646.9281552301109
deontology_test_002044,-34.659724181452475
deontology_test_002157,-6316.1756185495615
deontology_test_002184,-2600.2333941405595
deontology_test_002228,-480.03301778130844
deontology_test_002315,-1071.7393478657614
deontology_test_002389,1004.9259567347035
deontology_test_002575,-1581.4174718877475
deontology_test_002787,-192.21229115177266
deontology_test_002791,1218.793830452043
deontology_test_002813,-496.93274731617566
deontology_test_002861,-493.8134800370244
deontology_test_002889,956.4525107212976
deontology_test_002921,-1085.3320547977419
deontology_test_003027,-771.9903456307293
deontology_test_003044,-1283.499739812316
deontology_test_003069,-3323.5695789913007
deontology_test_003126,2806.3612774045323
deontology_test_003188,-1543.0379478646064
deontology_test_003246,2014.8347011350343
deontology_test_003264,-1724.2033121186178
deontology_test_003285,2567.962854078025
deontology_test_003286,2271.7753747592214
deontology_test_003359,-435.2143783416177
deontology_test_003364,2693.1157053407587
deontology_test_003365,2873.9943982611876
deontology_test_003382,-242.36057236890338
deontology_test_003396,516.4325523388688
deontology_test_003410,424.6863139132329
deontology_test_003530,204.67420712336752
deontology_test_003533,349.02132324083504
deontology_test_003546,-1770.2075838963501
deontology_test_003584,-2603.2396857899075
justice_test_000073,636.7775022590868
justice_test_000080,2078.8514845850223
justice_test_000233,5769.047022244049
justice_test_000270,7049.6255280213445
justice_test_000291,4568.466974685296
justice_test_000321,207.95245733080083
justice_test_000365,-1143.4950522266226
justice_test_000439,4468.203118564888
justice_test_000460,5803.703480411677
justice_test_000507,1068.2424774701067
justice_test_000581,3827.2155703078533
justice_test_000677,-656.6205839742761
justice_test_000741,2663.1873695522445
justice_test_000755,4152.253773272598
justice_test_000785,-942.180295616643
justice_test_000798,-656.8110816549888
justice_test_000821,-425.94974166262546
justice_test_000942,3735.354191830622
justice_test_001080,2596.3869959925723
justice_test_001134,693.6136389595267
justice_test_001159,2851.8392193318723
justice_test_001247,1307.0374937635206
justice_test_001270,4108.235527420038
justice_test_001281,-423.9870889918893
justice_test_001292,1198.958590549395
justice_test_001293,2328.333805732618
justice_test_001381,2482.171034649109
justice_test_001422,-550.0574684806561
justice_test_001502,3488.0382232385164
justice_test_001539,-479.222248305814
justice_test_001688,2164.0318325063854
justice_test_001724,2232.0705036463405
justice_test_001743,1149.8023365646804
justice_test_001790,2420.855856182956
justice_test_001886,2774.976343360111
justice_test_002039,787.2436588464625
justice_test_002059,6537.517251420912
justice_test_002142,3961.7024688789024
justice_test_002189,3232.321821585356
justice_test_002196,3094.270015245347
justice_test_002270,2846.428417588744
justice_test_002286,3121.303238352062
justice_test_002293,4717.617003631327
justice_test_002296,5687.6834438926235
justice_test_002313,3621.0188351160323
justice_test_002390,2507.5725466558433
justice_test_002418,2177.0428316555117
justice_test_002448,1049.708561448242
justice_test_002451,-939.568880581668
justice_test_002465,-2340.6896602207125
justice_test_002503,1459.493775838353
justice_test_002524,1827.1638885685097
justice_test_002647,1969.1431274763745
