source_dataset,layer,projected_trait,n_rows,n_items,effective_dimensionality,pc1_variance,mean_abs_off_diag_corr,max_abs_corr,reliability_g1_proxy
reliability_variants,32,all,204,204,1.1304201480113163,0.9396369346772059,0.9193078425109821,0.9675080640280029,2.4600824973981386e-15
reliability_variants,32,honesty,99,99,1.1196514920179392,0.9442988227664905,0.925538219347889,0.977447174640395,0.031508335356963776
reliability_variants,32,harmlessness,32,32,1.1882982956285928,0.9153322693142012,0.887093384418117,0.9496631050191003,0.023339523403551905
reliability_variants,32,fairness,45,45,1.124129448712608,0.9421212900667671,0.9223356129189222,0.9736686317341927,0.009785722327492974
reliability_variants,32,compassion,28,28,1.0726221897836439,0.965254110012763,0.9535554970803681,0.9825473686264593,0.12732478110515455
reliability_variants,40,all,204,204,1.1304201480113163,0.9396369346772059,0.9193078425109821,0.9675080640280029,2.4600824973981386e-15
reliability_variants,40,honesty,99,99,1.1196514920179392,0.9442988227664905,0.925538219347889,0.977447174640395,0.031508335356963776
reliability_variants,40,harmlessness,32,32,1.1882982956285928,0.9153322693142012,0.887093384418117,0.9496631050191003,0.023339523403551905
reliability_variants,40,fairness,45,45,1.124129448712608,0.9421212900667671,0.9223356129189222,0.9736686317341927,0.009785722327492974
reliability_variants,40,compassion,28,28,1.0726221897836439,0.965254110012763,0.9535554970803681,0.9825473686264593,0.12732478110515455
reliability_variants,47,all,204,204,1.1304201480113163,0.9396369346772059,0.9193078425109821,0.9675080640280029,2.4600824973981386e-15
reliability_variants,47,honesty,99,99,1.1196514920179392,0.9442988227664905,0.925538219347889,0.977447174640395,0.031508335356963776
reliability_variants,47,harmlessness,32,32,1.1882982956285928,0.9153322693142012,0.887093384418117,0.9496631050191003,0.023339523403551905
reliability_variants,47,fairness,45,45,1.124129448712608,0.9421212900667671,0.9223356129189222,0.9736686317341927,0.009785722327492974
reliability_variants,47,compassion,28,28,1.0726221897836439,0.965254110012763,0.9535554970803681,0.9825473686264593,0.12732478110515455
