source_dataset,layer,projected_trait,preprocessing,n_rows,n_items,n_variants,effective_dimensionality,pc1_variance,mean_abs_off_diag_corr,max_abs_corr,reliability_g1_proxy
ethics_original,32,all,raw,204,204,,1.1304201480113163,0.9396369346772059,0.9193078425109821,0.9675080640280029,2.4600824973981386e-15
ethics_original,32,honesty,raw,99,99,,1.1196514920179392,0.9442988227664905,0.925538219347889,0.977447174640395,0.031508335356963776
ethics_original,32,harmlessness,raw,32,32,,1.1882982956285928,0.9153322693142012,0.887093384418117,0.9496631050191003,0.023339523403551905
ethics_original,32,fairness,raw,45,45,,1.124129448712608,0.9421212900667671,0.9223356129189222,0.9736686317341927,0.009785722327492974
ethics_original,32,compassion,raw,28,28,,1.0726221897836439,0.965254110012763,0.9535554970803681,0.9825473686264593,0.12732478110515455
ethics_original,40,all,raw,204,204,,1.1304201480113163,0.9396369346772059,0.9193078425109821,0.9675080640280029,2.4600824973981386e-15
ethics_original,40,honesty,raw,99,99,,1.1196514920179392,0.9442988227664905,0.925538219347889,0.977447174640395,0.031508335356963776
ethics_original,40,harmlessness,raw,32,32,,1.1882982956285928,0.9153322693142012,0.887093384418117,0.9496631050191003,0.023339523403551905
ethics_original,40,fairness,raw,45,45,,1.124129448712608,0.9421212900667671,0.9223356129189222,0.9736686317341927,0.009785722327492974
ethics_original,40,compassion,raw,28,28,,1.0726221897836439,0.965254110012763,0.9535554970803681,0.9825473686264593,0.12732478110515455
ethics_original,47,all,raw,204,204,,1.1304201480113163,0.9396369346772059,0.9193078425109821,0.9675080640280029,2.4600824973981386e-15
ethics_original,47,honesty,raw,99,99,,1.1196514920179392,0.9442988227664905,0.925538219347889,0.977447174640395,0.031508335356963776
ethics_original,47,harmlessness,raw,32,32,,1.1882982956285928,0.9153322693142012,0.887093384418117,0.9496631050191003,0.023339523403551905
ethics_original,47,fairness,raw,45,45,,1.124129448712608,0.9421212900667671,0.9223356129189222,0.9736686317341927,0.009785722327492974
ethics_original,47,compassion,raw,28,28,,1.0726221897836439,0.965254110012763,0.9535554970803681,0.9825473686264593,0.12732478110515455
ethics_original,32,all,centered,204,204,,1.1304201480113163,0.9396369346772059,0.9193078425109821,0.9675080640280029,2.4600824973981386e-15
ethics_original,32,honesty,centered,99,99,,1.1196514920179392,0.9442988227664905,0.925538219347889,0.977447174640395,0.031508335356963776
ethics_original,32,harmlessness,centered,32,32,,1.1882982956285928,0.9153322693142012,0.887093384418117,0.9496631050191003,0.023339523403551905
ethics_original,32,fairness,centered,45,45,,1.124129448712608,0.9421212900667671,0.9223356129189222,0.9736686317341927,0.009785722327492974
ethics_original,32,compassion,centered,28,28,,1.0726221897836439,0.965254110012763,0.9535554970803681,0.9825473686264593,0.12732478110515455
ethics_original,40,all,centered,204,204,,1.1304201480113163,0.9396369346772059,0.9193078425109821,0.9675080640280029,2.4600824973981386e-15
ethics_original,40,honesty,centered,99,99,,1.1196514920179392,0.9442988227664905,0.925538219347889,0.977447174640395,0.031508335356963776
ethics_original,40,harmlessness,centered,32,32,,1.1882982956285928,0.9153322693142012,0.887093384418117,0.9496631050191003,0.023339523403551905
ethics_original,40,fairness,centered,45,45,,1.124129448712608,0.9421212900667671,0.9223356129189222,0.9736686317341927,0.009785722327492974
ethics_original,40,compassion,centered,28,28,,1.0726221897836439,0.965254110012763,0.9535554970803681,0.9825473686264593,0.12732478110515455
ethics_original,47,all,centered,204,204,,1.1304201480113163,0.9396369346772059,0.9193078425109821,0.9675080640280029,2.4600824973981386e-15
ethics_original,47,honesty,centered,99,99,,1.1196514920179392,0.9442988227664905,0.925538219347889,0.977447174640395,0.031508335356963776
ethics_original,47,harmlessness,centered,32,32,,1.1882982956285928,0.9153322693142012,0.887093384418117,0.9496631050191003,0.023339523403551905
ethics_original,47,fairness,centered,45,45,,1.124129448712608,0.9421212900667671,0.9223356129189222,0.9736686317341927,0.009785722327492974
ethics_original,47,compassion,centered,28,28,,1.0726221897836439,0.965254110012763,0.9535554970803681,0.9825473686264593,0.12732478110515455
