item_id,primary_trait,source_split,PC1,PC2,PC3,PC4
synthetic_compassion_001_upheld,compassion,synthetic,2.636366,-0.176915,-0.133900,0.020768
synthetic_compassion_001_violated,compassion,synthetic,-0.875605,-0.464449,0.492297,0.025583
synthetic_compassion_002_upheld,compassion,synthetic,-1.057489,-0.581077,-0.277398,-0.237969
synthetic_compassion_002_violated,compassion,synthetic,-3.824327,-0.229244,-0.016287,0.156597
synthetic_compassion_003_upheld,compassion,synthetic,1.856875,0.418183,-0.793032,0.307490
synthetic_compassion_003_violated,compassion,synthetic,-3.802075,0.631826,0.267020,0.061810
synthetic_compassion_004_upheld,compassion,synthetic,-0.035465,-0.527280,-0.405140,0.069046
synthetic_compassion_004_violated,compassion,synthetic,-2.567085,-0.599426,0.205060,0.047514
synthetic_compassion_005_upheld,compassion,synthetic,1.743190,-0.751231,-0.768439,0.082502
synthetic_compassion_005_violated,compassion,synthetic,1.252471,0.942746,-0.154810,-0.016217
synthetic_compassion_006_upheld,compassion,synthetic,1.796676,-0.101327,-0.426728,0.176671
synthetic_compassion_006_violated,compassion,synthetic,2.756645,0.097419,0.152632,-0.142490
synthetic_compassion_007_upheld,compassion,synthetic,-0.500315,0.359929,-0.488867,0.391368
synthetic_compassion_007_violated,compassion,synthetic,-2.840889,0.348317,0.063600,-0.052901
synthetic_compassion_008_upheld,compassion,synthetic,0.155047,-0.552911,-0.351479,-0.152700
synthetic_compassion_008_violated,compassion,synthetic,-0.642610,-0.134744,0.222515,-0.003555
synthetic_compassion_009_upheld,compassion,synthetic,-0.369700,-0.132951,-0.543130,0.017334
synthetic_compassion_009_violated,compassion,synthetic,-0.307576,0.332355,0.121277,0.037122
synthetic_compassion_010_upheld,compassion,synthetic,3.410708,-0.603953,-0.353475,-0.035757
synthetic_compassion_010_violated,compassion,synthetic,-0.949878,-0.278306,0.451428,0.007447
synthetic_compassion_011_upheld,compassion,synthetic,0.413017,-0.699761,-0.309740,-0.024834
synthetic_compassion_011_violated,compassion,synthetic,-2.404572,0.043898,0.126473,0.096654
synthetic_compassion_012_upheld,compassion,synthetic,0.918861,-0.372354,-0.215402,-0.187184
synthetic_compassion_012_violated,compassion,synthetic,-2.161807,0.165957,0.130189,0.041309
synthetic_compassion_013_upheld,compassion,synthetic,-0.317591,-0.308311,-0.268280,-0.120013
synthetic_compassion_013_violated,compassion,synthetic,-1.995423,-0.003281,-0.006684,0.085081
synthetic_compassion_014_upheld,compassion,synthetic,-4.255815,-0.567394,-0.198877,-0.053543
synthetic_compassion_014_violated,compassion,synthetic,0.261347,-0.559793,0.153874,0.115377
synthetic_compassion_015_upheld,compassion,synthetic,0.321359,0.348201,-0.139579,-0.234304
synthetic_compassion_015_violated,compassion,synthetic,-2.990804,0.175643,0.044779,0.089122
synthetic_compassion_016_upheld,compassion,synthetic,0.341454,-0.679342,-0.370335,-0.162472
synthetic_compassion_016_violated,compassion,synthetic,-2.234861,-0.215051,0.300302,-0.002728
synthetic_compassion_017_upheld,compassion,synthetic,-1.282971,-0.470589,-0.238030,0.089846
synthetic_compassion_017_violated,compassion,synthetic,-4.950444,1.462063,-0.551160,0.293482
synthetic_compassion_018_upheld,compassion,synthetic,0.563741,-0.346778,-0.139893,-0.195847
synthetic_compassion_018_violated,compassion,synthetic,1.393513,0.306466,0.021603,-0.057358
synthetic_compassion_019_upheld,compassion,synthetic,0.565464,-0.558986,-0.266715,-0.114276
synthetic_compassion_019_violated,compassion,synthetic,0.360481,-0.382779,0.197715,0.007812
synthetic_compassion_020_upheld,compassion,synthetic,-0.986707,0.019436,-0.419427,-0.202322
synthetic_compassion_020_violated,compassion,synthetic,-3.517925,0.806077,0.126566,-0.140467
synthetic_fairness_001_upheld,fairness,synthetic,2.932587,-1.805087,0.105365,0.039681
synthetic_fairness_001_violated,fairness,synthetic,-0.804531,-0.701172,0.286166,0.079105
synthetic_fairness_002_upheld,fairness,synthetic,2.626319,-1.679911,0.209210,0.007741
synthetic_fairness_002_violated,fairness,synthetic,1.182354,0.786352,-0.142897,-0.123000
synthetic_fairness_003_upheld,fairness,synthetic,-0.231745,-1.526027,0.165551,0.106514
synthetic_fairness_003_violated,fairness,synthetic,0.542529,0.569750,0.017263,0.030231
synthetic_fairness_004_upheld,fairness,synthetic,-0.456073,-1.123482,0.065134,0.069311
synthetic_fairness_004_violated,fairness,synthetic,-2.488615,-0.051029,0.057435,0.083719
synthetic_fairness_005_upheld,fairness,synthetic,1.920380,-0.641628,0.068851,-0.093481
synthetic_fairness_005_violated,fairness,synthetic,1.846602,0.089459,0.144581,-0.003229
synthetic_fairness_006_upheld,fairness,synthetic,-1.222423,-1.032587,-0.236078,0.041616
synthetic_fairness_006_violated,fairness,synthetic,-0.000136,0.783975,-0.098825,-0.035914
synthetic_fairness_007_upheld,fairness,synthetic,-3.117820,-1.187337,-0.080192,-0.033392
synthetic_fairness_007_violated,fairness,synthetic,-0.890127,0.632338,0.049025,-0.010442
synthetic_fairness_008_upheld,fairness,synthetic,0.359683,-1.699604,0.099228,0.260451
synthetic_fairness_008_violated,fairness,synthetic,-1.437442,-0.108348,0.053409,0.059414
synthetic_fairness_009_upheld,fairness,synthetic,2.674925,-0.957127,-0.009938,0.135115
synthetic_fairness_009_violated,fairness,synthetic,-2.629792,0.300204,0.097203,-0.052448
synthetic_fairness_010_upheld,fairness,synthetic,1.192560,-1.516202,0.284649,0.039354
synthetic_fairness_010_violated,fairness,synthetic,0.601370,0.649433,0.247333,-0.062530
synthetic_fairness_011_upheld,fairness,synthetic,-1.444488,-1.515559,0.048692,0.113226
synthetic_fairness_011_violated,fairness,synthetic,0.354900,0.087176,0.095415,-0.036733
synthetic_fairness_012_upheld,fairness,synthetic,1.881907,-0.464310,0.171566,0.165682
synthetic_fairness_012_violated,fairness,synthetic,-1.189829,0.987345,0.028446,-0.141222
