item_id,primary_trait,projection_truthfulness,projection_harm_avoidance,projection_impartiality,projection_empathy
commonsense_test_000032,harmlessness,-56816.133,-48746.48,27137.824,-42082.223
commonsense_test_000211,harmlessness,-58669.266,-50952.664,28034.426,-43988.914
commonsense_test_000229,honesty,-55557.926,-48465.895,26572.746,-41495.285
commonsense_test_000270,harmlessness,-58435.414,-50640.56,28678.531,-44004.895
commonsense_test_000291,harmlessness,-61493.94,-53105.176,29266.572,-45807.797
commonsense_test_000321,harmlessness,-57258.258,-49652.867,27326.545,-42909.805
commonsense_test_000322,harmlessness,-56559.992,-48802.668,26515.896,-41942.67
commonsense_test_000325,honesty,-59855.363,-51722.996,28366.72,-44846.527
commonsense_test_000351,honesty,-56782.902,-48974.37,26850.8,-42433.84
commonsense_test_000463,harmlessness,-54747.73,-47704.65,26154.588,-41141.902
commonsense_test_000486,harmlessness,-54811.96,-47267.207,26279.375,-40978.152
commonsense_test_000534,harmlessness,-61421.273,-52997.164,29227.477,-45521.76
commonsense_test_000573,harmlessness,-57251.4,-49282.37,27187.46,-42511.06
commonsense_test_000642,compassion,-60720.848,-52800.094,28594.549,-45185.293
commonsense_test_000720,harmlessness,-54685.504,-47426.37,26394.377,-41298.55
commonsense_test_000721,harmlessness,-59084.387,-50976.46,28161.03,-43892.87
commonsense_test_000744,honesty,-56325.586,-49276.56,26605.838,-42189.48
commonsense_test_000803,compassion,-53408.527,-46919.258,25767.514,-40387.496
commonsense_test_000864,harmlessness,-59668.344,-51305.836,28500.03,-44489.062
commonsense_test_000869,honesty,-55109.24,-46862.23,27057.996,-40932.094
commonsense_test_000889,honesty,-54805.785,-47362.5,25967.576,-40549.453
commonsense_test_000965,harmlessness,-56327.074,-49067.66,26968.791,-42413.266
commonsense_test_001032,harmlessness,-63966.94,-54630.324,30812.96,-47200.758
commonsense_test_001221,harmlessness,-52558.5,-45236.38,25292.223,-38993.586
commonsense_test_001222,harmlessness,-57969.582,-49937.812,27768.732,-42934.824
commonsense_test_001293,compassion,-55295.996,-48162.934,26223.799,-41472.87
commonsense_test_001344,honesty,-59573.85,-51942.418,27879.414,-44807.207
commonsense_test_001402,harmlessness,-63053.766,-54241.984,30474.38,-46817.508
commonsense_test_001417,honesty,-57970.332,-50084.67,27718.217,-43234.953
commonsense_test_001426,harmlessness,-59702.195,-50754.668,28285.562,-43983.664
commonsense_test_001483,harmlessness,-59034.387,-50547.92,27893.482,-43629.336
commonsense_test_001498,harmlessness,-58102.35,-49887.16,27572.4,-43515.33
commonsense_test_001511,harmlessness,-59482.54,-51039.434,28218.064,-44109.26
commonsense_test_001644,honesty,-59387.523,-51380.45,29066.676,-44414.35
commonsense_test_001650,harmlessness,-57811.145,-50110.215,27818.258,-43204.746
commonsense_test_001702,harmlessness,-58945.68,-50977.945,27776.148,-43741.54
commonsense_test_001813,harmlessness,-64175.438,-55640.23,30305.96,-47697.1
commonsense_test_001878,honesty,-56347.562,-49441.414,27005.121,-42369.957
commonsense_test_002008,honesty,-56500.75,-49249.168,27585.06,-42371.695
commonsense_test_002090,honesty,-58754.13,-51210.97,28251.43,-43619.27
commonsense_test_002119,fairness,-64160.086,-54777.68,29788.383,-47075.746
commonsense_test_002179,fairness,-65072.67,-55499.098,29978.637,-46971.223
commonsense_test_002210,honesty,-61862.168,-52781.977,28670.727,-45377.62
commonsense_test_002266,compassion,-66045.28,-56606.918,30449.756,-48362.934
commonsense_test_002299,honesty,-59690.992,-51517.5,28285.926,-44538.203
commonsense_test_002338,fairness,-62017.227,-52904.355,28632.135,-45244.78
commonsense_test_002405,compassion,-70518.69,-59607.64,32541.455,-50849.742
commonsense_test_002430,honesty,-67786.72,-57570.438,31525.768,-48990.406
commonsense_test_002506,compassion,-67167.83,-57170.76,30772.836,-48397.27
commonsense_test_002512,honesty,-66488.72,-56927.344,30601.498,-48491.824
commonsense_test_002567,honesty,-63444.4,-53884.65,28974.838,-45866.855
commonsense_test_002583,compassion,-62569.34,-54271.984,29510.402,-46659.38
commonsense_test_002727,compassion,-57323.26,-48614.758,27286.346,-42134.113
commonsense_test_002784,compassion,-67929.055,-57558.14,31321.65,-49196.445
commonsense_test_002867,fairness,-71324.125,-60396.094,32642.174,-51281.21
commonsense_test_002966,compassion,-67053.555,-57257.473,30768.04,-48912.93
commonsense_test_002969,honesty,-59744.887,-51249.164,27516.824,-43376.457
commonsense_test_002972,honesty,-62191.85,-53481.895,29187.182,-45166.117
commonsense_test_002988,harmlessness,-65843.45,-56230.504,30426.258,-48216.242
commonsense_test_003024,compassion,-62631.285,-53979.438,29077.404,-46028.8
commonsense_test_003083,compassion,-61308.047,-52883.547,28340.162,-45185.06
commonsense_test_003137,compassion,-68481.57,-58896.297,31268.27,-50167.76
commonsense_test_003190,honesty,-57686.375,-49725.547,26373.424,-42428.92
commonsense_test_003273,compassion,-68508.93,-58708.137,31119.762,-49969.188
commonsense_test_003315,honesty,-60453.3,-52111.938,28414.936,-44649.6
commonsense_test_003318,honesty,-58540.203,-50534.99,26952.6,-42947.9
commonsense_test_003362,compassion,-63245.53,-54353.19,29555.178,-46555.95
commonsense_test_003437,honesty,-66153.516,-55961.594,30487.969,-47939.332
commonsense_test_003535,honesty,-58985.234,-51053.953,27688.111,-43436.008
commonsense_test_003563,compassion,-63835.492,-54361.26,29170.29,-46276.5
