item_id,primary_trait,projection_truthfulness,projection_harm_avoidance,projection_impartiality,projection_empathy
commonsense_test_000032,harmlessness,-26484.264,-13243.665,103391.95,-5052.2793
commonsense_test_000211,harmlessness,-27028.676,-14551.121,104323.26,-6055.793
commonsense_test_000229,honesty,-26413.273,-14397.968,104045.516,-5355.3535
commonsense_test_000270,harmlessness,-25302.742,-12840.071,105115.98,-5304.393
commonsense_test_000291,harmlessness,-29002.82,-15178.824,114448.48,-6350.9087
commonsense_test_000321,harmlessness,-25797.344,-13176.851,104941.91,-5685.462
commonsense_test_000322,harmlessness,-27018.422,-13578.554,104241.4,-5121.2466
commonsense_test_000325,honesty,-28328.586,-14720.738,111019.2,-6195.9497
commonsense_test_000351,honesty,-27464.67,-13607.292,106753.78,-5594.1353
commonsense_test_000463,harmlessness,-26821.082,-14237.651,105525.14,-5692.901
commonsense_test_000486,harmlessness,-26605.32,-13319.279,107137.46,-5580.75
commonsense_test_000534,harmlessness,-27251.715,-14111.655,110181.086,-5148.687
commonsense_test_000573,harmlessness,-28040.758,-14166.395,105814.82,-5243.7344
commonsense_test_000642,compassion,-27721.832,-14979.914,109713.36,-5557.034
commonsense_test_000720,harmlessness,-26701.96,-13213.759,105731.96,-5947.18
commonsense_test_000721,harmlessness,-27559.336,-13838.9795,107541.91,-5086.6084
commonsense_test_000744,honesty,-26632.05,-14252.088,104477.22,-5557.4424
commonsense_test_000803,compassion,-25192.574,-13665.052,104817.11,-5400.3076
commonsense_test_000864,harmlessness,-28682.53,-13913.337,112968.86,-6198.398
commonsense_test_000869,honesty,-24842.322,-11476.606,101016.5,-4535.507
commonsense_test_000889,honesty,-24658.137,-12681.115,101712.625,-4568.224
commonsense_test_000965,harmlessness,-27060.787,-14682.639,102530.44,-6159.712
commonsense_test_001032,harmlessness,-27039.852,-12695.556,108129.695,-4858.9814
commonsense_test_001221,harmlessness,-27241.527,-13981.111,103611.88,-5912.367
commonsense_test_001222,harmlessness,-26674.559,-13700.167,107474.69,-5530.206
commonsense_test_001293,compassion,-26456.21,-13528.881,103121.84,-5743.3125
commonsense_test_001344,honesty,-27499.703,-15317.653,106170.31,-6459.235
commonsense_test_001402,harmlessness,-28432.441,-14056.857,117568.516,-5209.448
commonsense_test_001417,honesty,-27785.0,-13967.287,112891.266,-5661.7974
commonsense_test_001426,harmlessness,-26876.883,-12493.965,106132.125,-4835.937
commonsense_test_001483,harmlessness,-28009.63,-13829.746,107367.15,-4897.6074
commonsense_test_001498,harmlessness,-28267.096,-13564.481,107584.07,-5916.4854
commonsense_test_001511,harmlessness,-27364.773,-13845.774,105069.414,-5259.639
commonsense_test_001644,honesty,-27471.8,-13608.359,111280.08,-5824.7573
commonsense_test_001650,harmlessness,-29120.44,-15284.171,113107.43,-6298.4014
commonsense_test_001702,harmlessness,-26064.361,-14008.234,100023.836,-4989.538
commonsense_test_001813,harmlessness,-28505.074,-15246.2295,109906.85,-5428.253
commonsense_test_001878,honesty,-25735.457,-14177.689,104762.36,-5676.196
commonsense_test_002008,honesty,-26612.334,-13775.303,106691.234,-5313.189
commonsense_test_002090,honesty,-27089.871,-14565.772,107288.71,-5135.885
commonsense_test_002119,fairness,-28899.059,-13564.877,113841.63,-3807.9377
commonsense_test_002179,fairness,-29247.816,-13809.202,115088.74,-3498.0093
commonsense_test_002210,honesty,-30201.975,-14096.472,119126.1,-4695.5117
commonsense_test_002266,compassion,-31782.525,-15003.23,124286.56,-4575.7676
commonsense_test_002299,honesty,-26867.717,-14188.791,108050.66,-5488.212
commonsense_test_002338,fairness,-28875.166,-13632.282,110543.95,-4312.748
commonsense_test_002405,compassion,-28004.982,-12869.605,107362.22,-3658.546
commonsense_test_002430,honesty,-29376.83,-12929.516,116871.57,-3619.8542
commonsense_test_002506,compassion,-32784.39,-15113.953,127089.45,-4043.7874
commonsense_test_002512,honesty,-28151.213,-14112.226,109738.49,-4578.613
commonsense_test_002567,honesty,-28047.346,-12705.98,106578.21,-3262.1895
