item_id,primary_trait,source_split,PC1,PC2,PC3,PC4
synthetic_compassion_001_upheld,compassion,synthetic,1.588337,0.548761,0.435893,-0.020409
synthetic_compassion_001_violated,compassion,synthetic,-0.047913,0.563825,-0.134067,-0.025656
synthetic_compassion_002_upheld,compassion,synthetic,-0.131329,-0.245481,-0.412341,0.242811
synthetic_compassion_002_violated,compassion,synthetic,-2.629687,1.019015,0.135783,0.061821
synthetic_compassion_003_upheld,compassion,synthetic,1.199054,-1.922886,2.015025,0.227915
synthetic_compassion_003_violated,compassion,synthetic,-2.443362,-0.973632,0.201425,-0.065381
synthetic_compassion_004_upheld,compassion,synthetic,-0.395203,0.349785,0.196235,0.254468
synthetic_compassion_004_violated,compassion,synthetic,-0.293556,0.107602,-0.090239,0.016463
synthetic_compassion_005_upheld,compassion,synthetic,2.215533,-0.967059,0.550393,0.337063
synthetic_compassion_005_violated,compassion,synthetic,1.191100,-3.098218,0.622486,-0.024927
synthetic_compassion_006_upheld,compassion,synthetic,1.700355,0.770861,0.805744,-0.038044
synthetic_compassion_006_violated,compassion,synthetic,2.634263,-2.440239,-0.199607,0.128924
synthetic_compassion_007_upheld,compassion,synthetic,-2.776230,1.366489,1.453589,-0.007785
synthetic_compassion_007_violated,compassion,synthetic,-1.068298,-0.266047,0.231808,-0.023230
synthetic_compassion_008_upheld,compassion,synthetic,-0.092348,0.339381,0.059627,0.221304
synthetic_compassion_008_violated,compassion,synthetic,-0.414502,-0.504709,-0.069042,-0.014288
synthetic_compassion_009_upheld,compassion,synthetic,0.049642,-0.607161,0.545343,0.193783
synthetic_compassion_009_violated,compassion,synthetic,-1.016829,-1.351640,0.323375,0.032669
synthetic_compassion_010_upheld,compassion,synthetic,1.022070,-0.031400,0.124690,0.249882
synthetic_compassion_010_violated,compassion,synthetic,-0.617347,-0.055773,-0.266985,-0.056642
synthetic_compassion_011_upheld,compassion,synthetic,0.836392,0.202918,0.223916,0.231456
synthetic_compassion_011_violated,compassion,synthetic,-0.599101,-0.380569,0.565509,-0.026125
synthetic_compassion_012_upheld,compassion,synthetic,-0.815667,0.627285,-0.587910,0.188743
synthetic_compassion_012_violated,compassion,synthetic,-0.848135,-0.731173,0.204750,0.021690
synthetic_compassion_013_upheld,compassion,synthetic,0.413912,-0.219208,-0.006625,0.150248
synthetic_compassion_013_violated,compassion,synthetic,-0.351444,-0.078265,0.464539,-0.097516
synthetic_compassion_014_upheld,compassion,synthetic,-2.882739,1.986630,-0.342855,0.109053
synthetic_compassion_014_violated,compassion,synthetic,-0.479215,0.658014,-0.469556,0.056957
synthetic_compassion_015_upheld,compassion,synthetic,1.250922,-0.924563,-0.383016,-0.012360
synthetic_compassion_015_violated,compassion,synthetic,-0.229722,-0.395346,0.143536,-0.075494
synthetic_compassion_016_upheld,compassion,synthetic,0.945525,-0.589040,-0.115240,0.214943
synthetic_compassion_016_violated,compassion,synthetic,-0.598303,0.353680,-0.386076,-0.042865
synthetic_compassion_017_upheld,compassion,synthetic,-1.221398,1.054826,0.568294,0.139290
synthetic_compassion_017_violated,compassion,synthetic,-4.323250,-2.556966,1.804547,0.121472
synthetic_compassion_018_upheld,compassion,synthetic,0.500605,-0.119826,-0.299210,0.124286
synthetic_compassion_018_violated,compassion,synthetic,0.843345,-2.668836,0.107038,0.057421
synthetic_compassion_019_upheld,compassion,synthetic,-0.528516,0.913901,-0.146603,0.158471
synthetic_compassion_019_violated,compassion,synthetic,0.185992,-0.674301,-0.368506,0.094387
synthetic_compassion_020_upheld,compassion,synthetic,-0.431184,-0.778839,-0.030257,0.229314
synthetic_compassion_020_violated,compassion,synthetic,-2.352700,-1.349907,-0.296088,0.044388
synthetic_fairness_001_upheld,fairness,synthetic,2.907712,0.590388,-0.114342,0.210792
synthetic_fairness_001_violated,fairness,synthetic,-0.469365,1.512907,-0.126669,0.037752
synthetic_fairness_002_upheld,fairness,synthetic,4.404767,0.425448,0.052449,0.021942
synthetic_fairness_002_violated,fairness,synthetic,0.553590,-1.518837,-0.552749,-0.052102
synthetic_fairness_003_upheld,fairness,synthetic,0.992579,1.293759,-0.270909,0.079343
synthetic_fairness_003_violated,fairness,synthetic,-1.245798,-0.194067,-0.107810,-0.178430
synthetic_fairness_004_upheld,fairness,synthetic,0.702242,2.203378,-0.212363,0.029882
synthetic_fairness_004_violated,fairness,synthetic,-0.502747,0.764888,-0.062083,-0.084937
synthetic_fairness_005_upheld,fairness,synthetic,1.408642,0.059050,-0.308306,0.031758
synthetic_fairness_005_violated,fairness,synthetic,0.683818,-0.603357,-0.178462,-0.053742
synthetic_fairness_006_upheld,fairness,synthetic,1.840274,1.038706,0.182829,0.060334
synthetic_fairness_006_violated,fairness,synthetic,0.418054,-0.523849,-0.075930,-0.162413
synthetic_fairness_007_upheld,fairness,synthetic,0.618934,1.637857,-0.205339,0.016513
synthetic_fairness_007_violated,fairness,synthetic,-1.486159,0.316786,-0.121168,-0.148296
synthetic_fairness_008_upheld,fairness,synthetic,1.761391,1.749861,0.563624,0.049839
synthetic_fairness_008_violated,fairness,synthetic,0.252967,0.238102,0.061923,-0.067408
synthetic_fairness_009_upheld,fairness,synthetic,1.771560,0.704454,0.056950,0.250808
synthetic_fairness_009_violated,fairness,synthetic,-2.542096,0.323158,-0.546015,0.012409
synthetic_fairness_010_upheld,fairness,synthetic,2.815560,1.370939,-0.083887,-0.002789
synthetic_fairness_010_violated,fairness,synthetic,0.701989,-0.381713,-1.258304,-0.076647
synthetic_fairness_011_upheld,fairness,synthetic,0.508077,1.043312,0.400585,0.155839
synthetic_fairness_011_violated,fairness,synthetic,0.762594,-0.672618,-0.244187,-0.110222
