item_id,primary_trait,projection_truthfulness,projection_harm_avoidance,projection_impartiality,projection_empathy
synthetic_honesty_001_upheld,honesty,-8610.907,-18777.674,40436.047,-45688.3
synthetic_honesty_001_violated,honesty,-7829.806,-17462.379,39205.65,-44117.992
synthetic_honesty_002_upheld,honesty,-8079.0815,-18012.182,38976.188,-43833.754
synthetic_honesty_002_violated,honesty,-7924.781,-18149.248,39464.684,-44455.164
synthetic_honesty_003_upheld,honesty,-7735.171,-17546.738,38014.992,-42854.754
synthetic_honesty_003_violated,honesty,-7752.509,-17362.945,37439.863,-42538.523
synthetic_honesty_004_upheld,honesty,-8150.7837,-17532.686,38508.934,-43548.934
synthetic_honesty_004_violated,honesty,-8009.2534,-17675.338,39612.203,-44791.48
synthetic_honesty_005_upheld,honesty,-8213.267,-17759.941,38701.32,-43845.25
synthetic_honesty_005_violated,honesty,-8484.3125,-19358.875,41424.09,-46666.49
synthetic_honesty_006_upheld,honesty,-7808.4897,-17536.773,37514.848,-42488.32
synthetic_honesty_006_violated,honesty,-7516.1655,-16843.676,36435.51,-41428.94
synthetic_honesty_007_upheld,honesty,-7907.2915,-17282.916,38114.164,-42748.863
synthetic_honesty_007_violated,honesty,-8139.975,-17654.479,38610.47,-43319.83
synthetic_honesty_008_upheld,honesty,-7680.2837,-17342.12,37616.695,-42611.215
synthetic_honesty_008_violated,honesty,-7673.2686,-17976.457,38139.203,-43328.516
synthetic_honesty_009_upheld,honesty,-8573.455,-18630.965,39931.95,-45175.957
synthetic_honesty_009_violated,honesty,-7952.5063,-18548.15,39895.258,-45023.28
synthetic_honesty_010_upheld,honesty,-8298.637,-18288.246,39131.637,-44203.445
synthetic_honesty_010_violated,honesty,-7391.722,-17192.627,38008.664,-42578.098
synthetic_honesty_011_upheld,honesty,-7944.412,-17535.48,37985.094,-42740.645
synthetic_honesty_011_violated,honesty,-7459.3613,-16927.305,37143.74,-41851.438
synthetic_honesty_012_upheld,honesty,-7606.325,-16967.18,36786.766,-41717.008
synthetic_honesty_012_violated,honesty,-7771.876,-17405.58,37350.742,-42493.773
synthetic_honesty_013_upheld,honesty,-8409.546,-18926.096,40486.785,-45500.375
synthetic_honesty_013_violated,honesty,-8383.318,-19020.455,40418.324,-45765.53
