item_id,layer,source_split,primary_trait,activation_path,hidden_dim,token_position,model_name
synthetic_honesty_001_upheld,32,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_001_upheld_layer32.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_001_upheld,40,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_001_upheld_layer40.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_001_upheld,47,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_001_upheld_layer47.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_001_violated,32,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_001_violated_layer32.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_001_violated,40,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_001_violated_layer40.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_001_violated,47,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_001_violated_layer47.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_002_upheld,32,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_002_upheld_layer32.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_002_upheld,40,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_002_upheld_layer40.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_002_upheld,47,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_002_upheld_layer47.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_002_violated,32,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_002_violated_layer32.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_002_violated,40,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_002_violated_layer40.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_002_violated,47,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_002_violated_layer47.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_003_upheld,32,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_003_upheld_layer32.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_003_upheld,40,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_003_upheld_layer40.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_003_upheld,47,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_003_upheld_layer47.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_003_violated,32,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_003_violated_layer32.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_003_violated,40,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_003_violated_layer40.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_003_violated,47,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_003_violated_layer47.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_004_upheld,32,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_004_upheld_layer32.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_004_upheld,40,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_004_upheld_layer40.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_004_upheld,47,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_004_upheld_layer47.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_004_violated,32,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_004_violated_layer32.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_004_violated,40,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_004_violated_layer40.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_004_violated,47,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_004_violated_layer47.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_005_upheld,32,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_005_upheld_layer32.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_005_upheld,40,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_005_upheld_layer40.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_005_upheld,47,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_005_upheld_layer47.npy,3840,last_prompt_token,google/gemma-3-12b-it
synthetic_honesty_005_violated,32,synthetic,honesty,/Users/manouchehrrimer/Desktop/BlueDot_Perona_Vector_Project/outputs/synthetic_projection/activations/synthetic_honesty_005_violated_layer32.npy,3840,last_prompt_token,google/gemma-3-12b-it
